,frequency,mode,date,time,mycall,urrst,urnr,call,myrst,mynr,stn,datetime,hour,band,band_int,frequency_counts,station_type,dxcc,zonecq,zoneitu,continent,latitude,longitude,prefix,cum_dxcc_band,dxcc_band,dxcc_band_evol_all,dxcc_band_evol_10,dxcc_band_evol_15,dxcc_band_evol_20,dxcc_band_evol_40,dxcc_band_evol_80,dxcc_band_evol_160,cum_zonecq_band,zonecq_band,zonecq_band_evol_all,zonecq_band_evol_10,zonecq_band_evol_15,zonecq_band_evol_20,zonecq_band_evol_40,zonecq_band_evol_80,zonecq_band_evol_160,mults_evol_all,mults_evol_10,mults_evol_15,mults_evol_20,mults_evol_40,mults_evol_80,mults_evol_160,call_counter_band,isdupe,qsos_counter_band,qsos_evol_all,qsos_evol_10,qsos_evol_15,qsos_evol_20,qsos_evol_40,qsos_evol_80,qsos_evol_160,points,morse_length_seconds
45,7010.0,CW,2016-11-26,0008,EA2EA,599,14,9A3AG,599,15,0,2016-11-26 00:08:00,0,40.0,4.0,179.0,running,Croatia,15,28,continentEU,45.18,-15.30,9A,1,1,29,,,,20.0,,,11,0,13,,,,8.0,,,42,,,,28.0,,,1,0,1.0,46.0,,,,35.0,,,1,2.44
46,7010.0,CW,2016-11-26,0009,EA2EA,599,14,SN7O,599,15,0,2016-11-26 00:09:00,0,40.0,4.0,179.0,running,Poland,15,28,continentEU,52.28,-18.67,SP,2,0,29,,,,20.0,,,12,0,13,,,,8.0,,,42,,,,28.0,,,1,0,1.0,47.0,,,,36.0,,,1,1.72
47,7010.0,CW,2016-11-26,0009,EA2EA,599,14,N3RS,599,5,0,2016-11-26 00:09:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,14,0,29,,,,20.0,,,10,0,13,,,,8.0,,,42,,,,28.0,,,1,0,1.0,48.0,,,,37.0,,,3,1.56
48,3516.0,CW,2016-11-26,0009,EA2EA,599,14,UP0L,599,17,1,2016-11-26 00:09:00,0,80.0,5.0,4.0,inband,Kazakhstan,17,30,continentAS,48.17,-65.18,UN,1,1,30,,,,,10.0,,1,1,14,,,,,6.0,,44,,,,,16.0,,1,0,1.0,49.0,,,,,12.0,,3,2.2
49,7010.0,CW,2016-11-26,0009,EA2EA,599,14,NF8R,599,4,0,2016-11-26 00:09:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,15,0,30,,,,20.0,,,5,0,14,,,,8.0,,,44,,,,28.0,,,1,0,1.0,50.0,,,,38.0,,,3,1.8
50,3528.0,CW,2016-11-26,0009,EA2EA,599,14,UA4M,599,16,1,2016-11-26 00:09:00,0,80.0,5.0,35.0,running,European Russia,16,29,continentEU,53.65,-41.37,UA,1,1,31,,,,,11.0,,1,1,15,,,,,7.0,,46,,,,,18.0,,1,0,1.0,51.0,,,,,13.0,,1,1.56
51,7010.0,CW,2016-11-26,0009,EA2EA,599,14,N2LBR,599,5,0,2016-11-26 00:09:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,16,0,31,,,,20.0,,,11,0,15,,,,8.0,,,46,,,,28.0,,,1,0,1.0,52.0,,,,39.0,,,3,2.28
52,7010.0,CW,2016-11-26,0010,EA2EA,599,14,W1QK,599,5,0,2016-11-26 00:10:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,17,0,31,,,,20.0,,,12,0,15,,,,8.0,,,46,,,,28.0,,,1,0,1.0,53.0,,,,40.0,,,3,2.28
53,7010.0,CW,2016-11-26,0010,EA2EA,599,14,N4MA,599,5,0,2016-11-26 00:10:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,18,0,31,,,,20.0,,,13,0,15,,,,8.0,,,46,,,,28.0,,,1,0,1.0,54.0,,,,41.0,,,3,1.48
54,7010.0,CW,2016-11-26,0010,EA2EA,599,14,RG4A,599,16,0,2016-11-26 00:10:00,0,40.0,4.0,179.0,running,European Russia,16,29,continentEU,53.65,-41.37,UA,2,0,31,,,,20.0,,,6,0,15,,,,8.0,,,46,,,,28.0,,,1,0,1.0,55.0,,,,42.0,,,1,1.64
55,3528.0,CW,2016-11-26,0010,EA2EA,599,14,9H6A,599,15,1,2016-11-26 00:10:00,0,80.0,5.0,35.0,running,Malta,15,28,continentEU,35.88,-14.42,9H,1,1,32,,,,,12.0,,5,0,15,,,,,7.0,,47,,,,,19.0,,1,0,1.0,56.0,,,,,14.0,,1,1.96
56,7010.0,CW,2016-11-26,0010,EA2EA,599,14,K2NV,599,5,0,2016-11-26 00:10:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,19,0,32,,,,20.0,,,14,0,15,,,,8.0,,,47,,,,28.0,,,1,0,1.0,57.0,,,,43.0,,,3,1.88
57,7010.0,CW,2016-11-26,0010,EA2EA,599,14,N5TM,599,5,0,2016-11-26 00:10:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,20,0,32,,,,20.0,,,15,0,15,,,,8.0,,,47,,,,28.0,,,1,0,1.0,58.0,,,,44.0,,,3,1.32
58,7010.0,CW,2016-11-26,0011,EA2EA,599,14,9A7A,599,15,0,2016-11-26 00:11:00,0,40.0,4.0,179.0,running,Croatia,15,28,continentEU,45.18,-15.30,9A,2,0,32,,,,20.0,,,13,0,15,,,,8.0,,,47,,,,28.0,,,1,0,1.0,59.0,,,,45.0,,,1,1.96
59,1827.0,CW,2016-11-26,0011,EA2EA,599,14,HK1NA,599,9,0,2016-11-26 00:11:00,0,160.0,6.0,1.0,multi,Colombia,9,12,continentSA,5.00,74.00,HK,1,1,33,,,,,,1.0,1,1,16,,,,,,1.0,49,,,,,,2.0,1,0,1.0,60.0,,,,,,1.0,3,2.2
60,7010.0,CW,2016-11-26,0011,EA2EA,599,14,YO3GNF,599,20,0,2016-11-26 00:11:00,0,40.0,4.0,179.0,running,Romania,20,28,continentEU,45.78,-24.70,YO,1,1,34,,,,21.0,,,1,1,17,,,,9.0,,,51,,,,30.0,,,1,0,1.0,61.0,,,,46.0,,,1,3.0
61,3528.0,CW,2016-11-26,0011,EA2EA,599,14,US7IA,599,16,1,2016-11-26 00:11:00,0,80.0,5.0,35.0,running,Ukraine,16,29,continentEU,50.00,-30.00,UR,1,1,35,,,,,13.0,,2,0,17,,,,,7.0,,52,,,,,20.0,,1,0,1.0,62.0,,,,,15.0,,1,1.8
62,7010.0,CW,2016-11-26,0011,EA2EA,599,14,AA9A,599,4,0,2016-11-26 00:11:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,21,0,35,,,,21.0,,,6,0,17,,,,9.0,,,52,,,,30.0,,,1,0,1.0,63.0,,,,47.0,,,3,1.64
63,3528.0,CW,2016-11-26,0011,EA2EA,599,14,DL4ME,599,14,1,2016-11-26 00:11:00,0,80.0,5.0,35.0,running,Fed. Rep. of Germany,14,28,continentEU,51.00,-10.00,DL,4,0,35,,,,,13.0,,5,0,17,,,,,7.0,,52,,,,,20.0,,1,0,1.0,64.0,,,,,16.0,,1,1.88
64,7010.0,CW,2016-11-26,0011,EA2EA,599,14,N4IK,599,5,0,2016-11-26 00:11:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,22,0,35,,,,21.0,,,16,0,17,,,,9.0,,,52,,,,30.0,,,1,0,1.0,65.0,,,,48.0,,,3,1.48
65,7010.0,CW,2016-11-26,0011,EA2EA,599,14,RA9Y,599,18,0,2016-11-26 00:11:00,0,40.0,4.0,179.0,running,Asiatic Russia,17,30,continentAS,55.88,-84.08,UA9,2,0,35,,,,21.0,,,1,1,18,,,,10.0,,,53,,,,31.0,,,1,0,1.0,66.0,,,,49.0,,,3,2.04
66,7010.0,CW,2016-11-26,0012,EA2EA,599,14,AD4Z,599,5,0,2016-11-26 00:12:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,23,0,35,,,,21.0,,,17,0,18,,,,10.0,,,53,,,,31.0,,,1,0,1.0,67.0,,,,50.0,,,3,1.72
67,7010.0,CW,2016-11-26,0012,EA2EA,599,14,RM9A,599,17,0,2016-11-26 00:12:00,0,40.0,4.0,179.0,running,Asiatic Russia,17,30,continentAS,55.88,-84.08,UA9,3,0,35,,,,21.0,,,2,0,18,,,,10.0,,,53,,,,31.0,,,1,0,1.0,68.0,,,,51.0,,,3,1.8
68,3512.0,CW,2016-11-26,0012,EA2EA,599,14,TF3JB,599,40,1,2016-11-26 00:12:00,0,80.0,5.0,2.0,inband,Iceland,40,17,continentEU,64.80,18.73,TF,1,1,36,,,,,14.0,,1,1,19,,,,,8.0,,55,,,,,22.0,,1,0,1.0,69.0,,,,,17.0,,1,2.36
69,3528.0,CW,2016-11-26,0012,EA2EA,599,14,A93JA,599,21,1,2016-11-26 00:12:00,0,80.0,5.0,35.0,running,Bahrain,21,39,continentAS,26.03,-50.53,A9,1,1,37,,,,,15.0,,1,1,20,,,,,9.0,,57,,,,,24.0,,1,0,1.0,70.0,,,,,18.0,,3,2.6
70,7010.0,CW,2016-11-26,0012,EA2EA,599,14,N9NE,599,4,0,2016-11-26 00:12:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,24,0,37,,,,21.0,,,7,0,20,,,,10.0,,,57,,,,31.0,,,1,0,1.0,71.0,,,,52.0,,,3,1.48
71,7010.0,CW,2016-11-26,0012,EA2EA,599,14,K5YAA,599,5,0,2016-11-26 00:12:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,25,0,37,,,,21.0,,,18,0,20,,,,10.0,,,57,,,,31.0,,,1,0,1.0,72.0,,,,53.0,,,3,2.12
72,7010.0,CW,2016-11-26,0013,EA2EA,599,14,NB1N,599,5,0,2016-11-26 00:13:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,26,0,37,,,,21.0,,,19,0,20,,,,10.0,,,57,,,,31.0,,,1,0,1.0,73.0,,,,54.0,,,3,1.8
73,7060.0,CW,2016-11-26,0013,EA2EA,599,14,HS0ZIA,599,26,0,2016-11-26 00:13:00,0,40.0,4.0,1.0,inband,Thailand,26,49,continentAS,12.60,-99.70,HS,1,1,38,,,,22.0,,,1,1,21,,,,11.0,,,59,,,,33.0,,,1,0,1.0,74.0,,,,55.0,,,3,2.6
74,3561.0,CW,2016-11-26,0014,EA2EA,599,14,RA9Y,599,18,1,2016-11-26 00:14:00,0,80.0,5.0,1.0,inband,Asiatic Russia,17,30,continentAS,55.88,-84.08,UA9,1,1,39,,,,,16.0,,1,1,22,,,,,10.0,,61,,,,,26.0,,1,0,1.0,75.0,,,,,19.0,,3,2.04
75,7010.0,CW,2016-11-26,0014,EA2EA,599,14,K3RV,599,5,0,2016-11-26 00:14:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,27,0,39,,,,22.0,,,20,0,22,,,,11.0,,,61,,,,33.0,,,1,0,1.0,76.0,,,,56.0,,,3,1.88
76,7010.0,CW,2016-11-26,0014,EA2EA,599,14,UX7IW,599,16,0,2016-11-26 00:14:00,0,40.0,4.0,179.0,running,Ukraine,16,29,continentEU,50.00,-30.00,UR,4,0,39,,,,22.0,,,7,0,22,,,,11.0,,,61,,,,33.0,,,1,0,1.0,77.0,,,,57.0,,,1,2.2
77,7010.0,CW,2016-11-26,0014,EA2EA,599,14,W1GQ,599,5,0,2016-11-26 00:14:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,28,0,39,,,,22.0,,,21,0,22,,,,11.0,,,61,,,,33.0,,,1,0,1.0,78.0,,,,58.0,,,3,2.28
78,7010.0,CW,2016-11-26,0014,EA2EA,599,14,N3ZA,599,5,0,2016-11-26 00:14:00,0,40.0,4.0,179.0,running,United States,5,8,continentNA,37.53,91.67,K,29,0,39,,,,22.0,,,22,0,22,,,,11.0,,,61,,,,33.0,,,1,0,1.0,79.0,,,,59.0,,,3,1.72
